foe_ship_time,foe_ship_id,foe_ship_x,foe_ship_y
558,3,206.85086476456792,528.1746585090489
560,2,238.9804361092584,542.1030255516401
560,3,206.98972436471274,528.1718063336671
562,2,239.1045158866905,542.040620966158
562,3,207.12858396485757,528.1689541582853
564,2,239.22859566412262,541.9782163806759
564,3,207.2674435650024,528.1661019829035
566,2,239.35267544155474,541.9158117951938
566,3,207.40630316514722,528.1632498075217
568,2,239.47675521898685,541.8534072097117
568,3,207.54516276529205,528.1603976321398
570,2,239.60083499641897,541.7910026242296
570,3,207.68402236543687,528.157545456758
572,2,239.72491477385108,541.7285980387475
572,3,207.8228819655817,528.1546932813762
574,2,239.8489945512832,541.6661934532654
574,3,207.96174156572653,528.1518411059944
576,2,239.9730743287153,541.6037888677832
576,3,208.10060116587135,528.1489889306126
578,2,240.09715410614743,541.5413842823011
578,3,208.23946076601618,528.1461367552308
580,2,240.22123388357954,541.478979696819
580,3,208.378320366161,528.143284579849
582,2,240.34531366101166,541.4165751113369
582,3,208.51717996630583,528.1404324044672
584,2,240.46939343844377,541.3541705258548
584,3,208.65603956645066,528.1375802290854
586,2,240.5934732158759,541.2917659403727
586,3,208.79489916659548,528.1347280537036
588,2,240.717552993308,541.2293613548906
588,3,208.9337587667403,528.1318758783218
590,2,240.84163277074012,541.1669567694084
590,3,209.07261836688514,528.12902370294
592,2,240.96571254817223,541.1045521839263
592,3,209.21147796702996,528.1261715275582
594,2,241.08979232560435,541.0421475984442
594,3,209.3503375671748,528.1233193521764
596,2,241.21387210303646,540.9797430129621
596,3,209.48919716731962,528.1204671767946
598,2,241.33795188046858,540.91733842748
598,3,209.62805676746444,528.1176150014128
600,2,241.4620316579007,540.8549338419979
600,3,209.76691636760927,528.114762826031
602,2,241.5861114353328,540.7925292565158
602,3,209.9057759677541,528.1119106506492
604,2,241.71019121276493,540.7301246710336
604,3,210.04463556789892,528.1090584752674
606,2,241.83427099019704,540.6677200855515
606,3,210.18349516804375,528.1062062998856
608,2,241.95835076762916,540.6053155000694
608,3,210.32235476818857,528.1033541245038
610,2,242.08243054506127,540.5429109145873
610,3,210.4612143683334,528.100501949122
612,2,242.2065103224934,540.4805063291052
612,3,210.60007396847823,528.0976497737402
614,2,242.3305900999255,540.4181017436231
614,3,210.73893356862305,528.0947975983584
616,2,242.45466987735762,540.355697158141
616,3,210.87779316876788,528.0919454229766
618,2,242.57874965478973,540.2932925726589
