foe_sam_time,foe_sam_id,foe_sam_x,foe_sam_y
102,2156.0-3675.0,202.01390184007724,465.51671473349427
102,5181.0-1973.0,138.95559705107217,443.9323335070469
102,3656.0-4008.0,197.81994539659578,484.40550634977967
102,310.0-2884.0,154.83953805357788,457.9790523911463
102,7827.0-3507.0,184.19838122758173,508.01600396287535
102,6228.0-2468.0,192.27684895547472,524.5255127108653
102,8405.0-3560.0,206.04441561048012,538.6642952653776
102,8503.0-4757.0,170.31290578900445,511.0578323140537
104,6213.0-113.0,102.45407830985609,215.42150029535316
104,8551.0-1532.0,186.51994129520068,226.41136865290002
104,7762.0-3912.0,72.50465368597902,307.4156169697825
104,7616.0-4572.0,107.16743516561966,311.40867001249285
104,382.0-2828.0,60.37733009342102,286.91868250023026
104,6586.0-2842.0,60.22769104724688,358.5602037175113
104,6589.0-916.0,186.76077230388321,281.52427139181395
104,2018.0-3491.0,196.6459418500391,328.67077242125515
104,7974.0-3062.0,108.36928192812303,308.3690878565916
104,9522.0-4450.0,163.538716209221,351.34302714400485
104,5557.0-3147.0,125.55528176852701,322.9673110453044
104,9936.0-4094.0,175.82390224527376,367.5958991311686
104,6862.0-1202.0,126.31586071404753,341.71048975668384
104,5451.0-2256.0,134.5672013153606,399.4786210804381
104,7879.0-4282.0,122.3788214834235,361.884936095693
104,8906.0-4866.0,147.3937675395741,413.8408924798699
104,7278.0-3462.0,149.06795973282945,374.6643582132766
104,5934.0-1830.0,136.44036177557587,440.142900349668
104,4724.0-4284.0,134.4025187095542,396.76880205108824
104,3231.0-4357.0,170.2885200114353,444.292210858368
104,6647.0-1667.0,156.55106819699859,410.74204517808744
104,2156.0-3675.0,201.28275509378668,456.36661405865715
104,5181.0-1973.0,135.47092876316947,435.4402192327598
104,3656.0-4008.0,196.35074746393937,475.3445806046395
104,310.0-2884.0,152.43448041897648,449.12046245264526
104,7827.0-3507.0,179.92783003006014,499.8906541000317
104,6228.0-2468.0,187.8285992024495,516.4960673963385
104,8405.0-3560.0,203.90761965450028,529.7372004990623
104,8503.0-4757.0,168.01278031787774,502.17141904764867
104,4439.0-155.0,205.88180439497336,548.499648506198
104,6830.0-381.0,173.68376442042234,519.7702577691358
106,6213.0-113.0,99.46776074395997,206.74159100320693
106,8551.0-1532.0,186.99789803969426,217.24455485122067
106,7762.0-3912.0,68.1711336837738,299.32367515617847
106,7616.0-4572.0,103.72176281584086,302.90065849497387
106,382.0-2828.0,56.55231364397028,278.5743330896592
106,6586.0-2842.0,54.77908357254978,351.1729447866939
106,6589.0-916.0,187.3230036363314,272.3622402931394
106,2018.0-3491.0,196.20824942728333,319.50194789096076
106,7974.0-3062.0,105.82972338412507,299.5481151026447
106,9522.0-4450.0,161.61272943684813,342.3680902151507
106,5557.0-3147.0,123.53003468331683,314.0142505536003
106,9936.0-4094.0,174.28767989844573,358.5460958832868
106,6862.0-1202.0,124.12072627525689,332.7975607925385
106,5451.0-2256.0,130.68480501177297,391.1608138654231
106,7879.0-4282.0,119.73079087050155,353.09591727688877
106,8906.0-4866.0,143.79452500434962,405.39670092017064
106,7278.0-3462.0,147.6620089918647,365.5934034433394
106,5934.0-1830.0,131.6144492143973,432.33460438472633
106,4724.0-4284.0,131.81289718822313,387.9623965243977
106,3231.0-4357.0,167.30477464707508,435.6114170280248
106,6647.0-1667.0,155.2454149252439,401.6561116840417
106,2156.0-3675.0,200.55160834749614,447.21651338382003
106,5181.0-1973.0,131.98626047526676,426.94810495847264
106,3656.0-4008.0,194.88154953128296,466.2836548594993
106,310.0-2884.0,150.02942278437507,440.2618725141442
106,7827.0-3507.0,175.65727883253854,491.7653042371881
106,6228.0-2468.0,183.3803494494243,508.4666220818117
106,8405.0-3560.0,201.77082369852045,520.8101057327469
106,8503.0-4757.0,165.71265484675104,493.2850057812436
106,4439.0-155.0,201.1974417126427,540.6056213853519
106,6830.0-381.0,172.17665290929716,510.71556104217143
108,6213.0-113.0,96.60112225621053,198.02142462263714
108,8551.0-1532.0,178.2417412393019,214.4898069478349
